919,2255,1121,2255,1121,2343,919,2343
1234,2255,1354,2255,1354,2331,1234,2331
787,2261,913,2261,913,2362,787,2362
1562,2261,1644,2261,1644,2324,1562,2324
245,2268,441,2268,441,2349,245,2349
447,2268,567,2268,567,2343,447,2343
580,2264,785,2280,780,2352,575,2336
1127,2268,1228,2268,1228,2349,1127,2349
1530,2375,1650,2375,1650,2450,1530,2450
869,2381,1020,2381,1020,2463,869,2463
1205,2370,1527,2386,1523,2472,1201,2455
699,2387,850,2387,850,2463,699,2463
384,2394,686,2394,686,2469,384,2469
1026,2394,1190,2394,1190,2457,1026,2457
258,2400,378,2400,378,2469,258,2469
144,2406,245,2406,245,2469,144,2469
1568,2501,1701,2501,1701,2583,1568,2583
951,2507,1089,2507,1089,2589,951,2589
1097,2503,1309,2520,1301,2612,1089,2594
680,2513,938,2513,938,2589,680,2589
1310,2513,1392,2513,1392,2576,1310,2576
332,2522,673,2515,675,2614,334,2621
1398,2520,1556,2520,1556,2576,1398,2576
151,2532,327,2532,327,2595,151,2595
1266,2627,1449,2627,1449,2702,1266,2702
1127,2633,1260,2633,1260,2709,1127,2709
1465,2646,1599,2637,1603,2697,1468,2705
1612,2639,1707,2639,1707,2696,1612,2696
151,2646,340,2646,340,2721,151,2721
483,2665,696,2638,707,2730,494,2756
792,2652,1051,2644,1054,2730,794,2737
699,2652,781,2652,781,2715,699,2715
352,2658,485,2658,485,2721,352,2721
959,2760,1119,2750,1124,2834,964,2844
1250,2759,1448,2748,1452,2822,1254,2833
1127,2759,1247,2759,1247,2828,1127,2828
1461,2759,1587,2759,1587,2822,1461,2822
623,2785,836,2758,847,2850,634,2876
289,2772,403,2772,403,2847,289,2847
409,2772,529,2772,529,2847,409,2847
844,2772,938,2772,938,2835,844,2835
541,2778,623,2778,623,2841,541,2841
151,2790,277,2790,277,2847,151,2847
1071,2879,1373,2879,1373,2954,1071,2954
690,2892,932,2883,935,2966,693,2975
945,2885,1064,2885,1064,2961,945,2961
1379,2885,1499,2885,1499,2948,1379,2948
144,2898,352,2898,352,2998,144,2998
422,2898,548,2898,548,2973,422,2973
560,2898,680,2898,680,2967,560,2967
888,3250,1001,3250,1001,3332,888,3332
